8.635e-2	4.1373e-4
9.061e-2	4.6935e-4
9.509e-2	5.3066e-4
9.979e-2	5.9977e-4
1.047e-1	6.7767e-4
1.099e-1	7.6569e-4
1.153e-1	8.6512e-4
1.210e-1	9.7742e-4
1.270e-1	1.1042e-3
1.333e-1	1.2474e-3
1.399e-1	1.4090e-3
1.468e-1	1.5913e-3
1.541e-1	1.7969e-3
1.617e-1	2.0288e-3
1.697e-1	2.2900e-3
1.781e-1	2.5843e-3
1.869e-1	2.9157e-3
1.961e-1	3.2885e-3
2.058e-1	3.7078e-3
2.160e-1	4.1789e-3
2.267e-1	4.7080e-3
2.380e-1	5.3016e-3
2.498e-1	5.9671e-3
2.622e-1	6.7123e-3
2.752e-1	7.5461e-3
2.889e-1	8.4777e-3
3.032e-1	9.5174e-3
3.183e-1	1.0676e-2
3.341e-1	1.1965e-2
3.508e-1	1.3398e-2
3.682e-1	1.4986e-2
3.866e-1	1.6745e-2
4.059e-1	1.8689e-2
4.262e-1	2.0832e-2
4.475e-1	2.3190e-2
4.700e-1	2.5776e-2
4.935e-1	2.8604e-2
5.184e-1	3.1683e-2
5.445e-1	3.5021e-2
5.719e-1	3.8625e-2
6.009e-1	4.2493e-2
6.313e-1	4.6619e-2
6.634e-1	5.0986e-2
6.972e-1	5.5566e-2
7.328e-1	6.0321e-2
7.704e-1	6.5201e-2
8.101e-1	7.0147e-2
8.519e-1	7.5082e-2
8.961e-1	7.9913e-2
9.428e-1	8.4535e-2
9.922e-1	8.8851e-2
1.045e+0	9.2803e-2
1.100e+0	9.6385e-2
1.159e+0	9.9594e-2
1.221e+0	1.0244e-1
1.287e+0	1.0490e-1
1.357e+0	1.0695e-1
1.432e+0	1.0852e-1
1.511e+0	1.0955e-1
1.596e+0	1.0995e-1
1.686e+0	1.0959e-1
1.782e+0	1.0836e-1
1.886e+0	1.0620e-1
1.996e+0	1.0305e-1
2.115e+0	9.8866e-2
2.242e+0	9.3708e-2
2.378e+0	8.7754e-2
2.526e+0	8.1211e-2
2.684e+0	7.4287e-2
2.856e+0	6.7199e-2
3.041e+0	6.0112e-2
3.241e+0	5.3157e-2
3.458e+0	4.6478e-2
3.694e+0	4.0207e-2
3.950e+0	3.4449e-2
4.228e+0	2.9290e-2
4.532e+0	2.4769e-2
4.862e+0	2.0876e-2
5.223e+0	1.7549e-2
5.617e+0	1.4708e-2
6.048e+0	1.2289e-2
6.519e+0	1.0231e-2
7.035e+0	8.4787e-3
7.600e+0	6.9913e-3
8.220e+0	5.7338e-3
8.900e+0	4.6773e-3
9.646e+0	3.7977e-3
1.047e+1	3.0740e-3
1.137e+1	2.4854e-3
1.235e+1	2.0038e-3
1.344e+1	1.6097e-3
1.464e+1	1.2884e-3
1.595e+1	1.0273e-3
1.740e+1	8.1599e-4
1.899e+1	6.4565e-4
2.073e+1	5.0908e-4
2.266e+1	3.9994e-4
2.478e+1	3.1300e-4
2.711e+1	2.4418e-4
2.968e+1	1.9001e-4
3.250e+1	1.4754e-4
3.561e+1	1.1435e-4
3.904e+1	8.8465e-5
4.281e+1	6.8321e-5
4.696e+1	5.2667e-5
5.153e+1	4.0530e-5
5.656e+1	3.1148e-5
6.210e+1	2.3911e-5
6.820e+1	1.8338e-5
7.492e+1	1.4052e-5
8.231e+1	1.0761e-5
9.046e+1	8.2352e-6
9.942e+1	6.2989e-6
1.093e+2	4.8140e-6
1.202e+2	3.6764e-6
1.321e+2	2.8066e-6
1.453e+2	2.1425e-6
1.599e+2	1.6358e-6
1.758e+2	1.2493e-6
1.934e+2	9.5461e-7
2.128e+2	7.2981e-7
2.342e+2	5.5833e-7
2.577e+2	4.2750e-7
2.836e+2	3.2765e-7
3.121e+2	2.5140e-7
3.435e+2	1.9312e-7
3.780e+2	1.4853e-7
4.161e+2	1.1438e-7
4.580e+2	8.8195e-8
5.042e+2	6.8084e-8
5.550e+2	5.2620e-8
6.110e+2	4.0712e-8
6.726e+2	3.1530e-8
7.405e+2	2.4442e-8
8.152e+2	1.8962e-8
8.975e+2	1.4722e-8
9.881e+2	1.1437e-8
1.088e+3	8.8909e-9
1.198e+3	6.9152e-9
1.319e+3	5.3807e-9
1.452e+3	4.1882e-9
1.599e+3	3.2609e-9
1.760e+3	2.5396e-9
1.938e+3	1.9783e-9
2.134e+3	1.5418e-9
2.350e+3	1.2021e-9
2.588e+3	9.3742e-10
2.849e+3	7.3112e-10
3.137e+3	5.7028e-10
3.455e+3	4.4486e-10
3.804e+3	3.4706e-10
4.189e+3	2.7078e-10
4.612e+3	2.1128e-10
5.079e+3	1.6486e-10
5.593e+3	1.2865e-10
6.158e+3	1.0040e-10
6.781e+3	7.8354e-11
7.467e+3	6.1154e-11
8.223e+3	4.7732e-11
9.054e+3	3.7257e-11
9.970e+3	2.9082e-11
1.098e+4	2.2703e-11
1.209e+4	1.7723e-11
1.331e+4	1.3836e-11
1.466e+4	1.0802e-11
1.614e+4	8.4340e-12
1.778e+4	6.5851e-12
1.957e+4	5.1418e-12
2.156e+4	4.0150e-12
2.374e+4	3.1352e-12
2.614e+4	2.4483e-12
2.878e+4	1.9120e-12
3.169e+4	1.4932e-12
3.490e+4	1.1662e-12
3.843e+4	9.1082e-13
4.232e+4	7.1139e-13
4.660e+4	5.5565e-13
5.132e+4	4.3401e-13
5.651e+4	3.3902e-13
6.223e+4	2.6482e-13
6.852e+4	2.0687e-13
7.546e+4	1.6160e-13
8.309e+4	1.2625e-13
9.150e+4	9.8627e-14
1.008e+5	7.7052e-14
1.110e+5	6.0199e-14
